Name,Type,Minion,Spell,Weapon,Rarity,Class,Druid,Hunter,Mage,Neutral,Paladin,Priest,Rogue,Shaman,Warlock,Warrior,Tribe,Beast,Demon,Dragon,Elemental,General,Mech,Murloc,Pirate,Totem,Cost,Attack,Health,Charge,Taunt,Windfury,Stealth,Divine Shield,Poisonous,Immune,Can't be Targeted by Spells or Hero Powers,Adapt,Lifesteal,Rush,Echo,Magnetic,Spell Damage,Overload,Trigger,Aura,Battlecry,Combo,Choose One,Deathrattle,End of Turn,Start of Turn,Whenever,While,After,Secret,Elemental,Dragon,Effect,Trigger 2,Effect 2,In % of Decks,Deck winrate
Ancient of Lore,Minion,1,0,0,Epic,Druid,1,0,0,0,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,0,0,0,1,0,0,0,0,0,0,0,0,0,Draw a card; or Restore 5 Health.,None,None,0.10,40.90
Ancient of War,Minion,1,0,0,Epic,Druid,1,0,0,0,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,0,0,0,1,0,0,0,0,0,0,0,0,0,+5 Attack or +5 Health and Taunt.,None,None,0.70,46.50
Cenarius,Minion,1,0,0,Legendary,Druid,1,0,0,0,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,9,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,0,0,0,1,0,0,0,0,0,0,0,0,0,Give your other minions +2/+2; or Summon two 2/2 Treants with Taunt.,None,None,2.30,50.40
Druid of the Claw,Minion,1,0,0,Common,Druid,1,0,0,0,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,0,0,0,1,0,0,0,0,0,0,0,0,0,Transform into a 4/4 with Charge; or a 4/6 with Taunt.,None,None,1.20,46.40
Keeper of the Grove,Minion,1,0,0,Rare,Druid,1,0,0,0,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,0,0,0,1,0,0,0,0,0,0,0,0,0,Deal 2 damage; or Silence a minion.,None,None,0.40,42.70
King Krush,Minion,1,0,0,Legendary,Hunter,0,1,0,0,0,0,0,0,0,0,Beast,1,0,0,0,0,0,0,0,0,9,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,42.50,55.10
Savannah Highmane,Minion,1,0,0,Rare,Hunter,0,1,0,0,0,0,0,0,0,0,Beast,1,0,0,0,0,0,0,0,0,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,1,0,0,0,0,0,0,0,0,Summon two 2/2 Hyenas.,None,None,29.00,55.40
Scavenging Hyena,Minion,1,0,0,Common,Hunter,0,1,0,0,0,0,0,0,0,0,Beast,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,1,0,0,0,0,0,Whenever a firendly Beast dies; gain +2/+1.,None,None,4.00,53.40
Archmage Antonidas,Minion,1,0,0,Legendary,Mage,0,0,1,0,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,7,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Whenever you cast a spell; put a 'Fireball' spell into your hand.,None,None,13.00,40.00
Ethereal Arcanist,Minion,1,0,0,Rare,Mage,0,0,1,0,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,0,0,0,0,1,0,0,0,0,0,0,0,If you control a Secret at the end of your turn; gain +2/+2.,None,None,0.80,39.60
