Name,Type,Minion,Spell,Weapon,Rarity,Class,Druid,Hunter,Mage,Neutral,Paladin,Priest,Rogue,Shaman,Warlock,Warrior,Tribe,Beast,Demon,Dragon,Elemental,General,Mech,Murloc,Pirate,Totem,Cost,Attack,Health,Charge,Taunt,Windfury,Stealth,Divine Shield,Poisonous,Immune,Can't be Targeted by Spells or Hero Powers,Adapt,Lifesteal,Rush,Echo,Magnetic,Spell Damage,Overload,Trigger,Aura,Battlecry,Combo,Choose One,Deathrattle,End of Turn,Start of Turn,Whenever,While,After,Secret,Elemental,Dragon,Effect,Trigger 2,Effect 2,In % of Decks,Deck winrate
Abominable Bowman,Minion,1,0,0,Epic,Hunter,0,1,0,0,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,7,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,1,0,0,0,0,0,0,0,0,Summon a random friendly Beast that died this game.,N,None,0.5,50.3
Acherus Veteran,Minion,1,0,0,Common,Neutral,0,0,0,1,0,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Give a friendly minion +1 Attack.,N,None,7.4,57.2
Acolite of Agony,Minion,1,0,0,Common,Priest,0,0,0,0,0,1,0,0,0,0,General,0,0,0,0,1,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,None,N,None,0.4,43.6
Animated Berserker,Minion,1,0,0,Common,Warrior,0,0,0,0,0,0,0,0,0,1,General,0,0,0,0,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,0,0,0,0,0,0,0,0,1,0,0,0,After you play a minion deal 1 damage to it.,N,None,0.6,40.4
Archbishop Benedictus,Minion,1,0,0,Legendary,Priest,0,0,0,0,0,1,0,0,0,0,General,0,0,0,0,1,0,0,0,0,7,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,1,0,0,0,0,0,0,0,0,0,0,0,Shuffle a copy your opponent's deck into your deck.,N,None,7,48.1
Arfus,Minion,1,0,0,Legendary,Neutral,0,0,0,1,0,0,0,0,0,0,Beast,1,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,1,0,0,0,0,0,0,0,0,Add a random Death Knight to your hand.,N,None,0.2,48.8
Arrogant Crusader,Minion,1,0,0,Rare,Paladin,0,0,0,0,1,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,1,0,0,0,0,0,0,0,0,If it's your opponent's turn; summon a 2/2 Ghoul.,N,None,0.08,49.5
Bearshark,Minion,1,0,0,Common,Hunter,0,1,0,0,0,0,0,0,0,0,Beast,1,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,None,N,None,25.3,54.9
Blackguard,Minion,1,0,0,Epic,Paladin,0,0,0,0,1,0,0,0,0,0,General,0,0,0,0,1,0,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,0,0,0,0,0,1,0,0,0,0,0,Whenever your hero is healed; deal that much damage to a random enemy minion.,N,None,0.2,46.1
Blood-Queen Lana'thel,Minion,1,0,0,Legendary,Warlock,0,0,0,0,0,0,0,0,1,0,General,0,0,0,0,1,0,0,0,0,5,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,Has +1 Attack for each card you've discarded this game.,N,None,0.1,35.4
